na_item,unit,geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
B1GQ,CP_EUR_HAB,AL	3090 	3190 	3300 	3320 d	3450 	3560 	3730 	4020 	4480 	4820 	4680 p	: 
B1GQ,CP_EUR_HAB,AT	35390 	36970 	37820 	38210 	38990 	39890 	40920 	42000 	43610 	44780 	42540 	44970 
B1GQ,CP_EUR_HAB,BE	33330 	34060 	34770 	35210 	35950 	36960 	37960 	39130 	40260 	41630 	39560 p	43680 p
B1GQ,CP_EUR_HAB,BG	5080 	5640 	5780 	5790 	5960 	6380 	6840 	7420 	8000 	8820 	8840 	9850 p
B1GQ,CP_EUR_HAB,CH	58170 	65750 	67330 	66340 	67650 	76400 	75090 	73830 	73140 	76230 	76370 	78910 p
B1GQ,CP_EUR_HAB,CY	23400 	23270 	22500 	20880 	20450 	21100 	22230 	23550 	24840 	26090 	24240 p	26030 p
B1GQ,CP_EUR_HAB,CZ	15020 	15740 	15470 	15170 	15000 	16080 	16790 	18330 	19850 	21150 	20170 	22270 
B1GQ,CP_EUR_HAB,DE	31940 	33550 	34130 	34860 	36150 	37050 	38070 	39530 	40620 p	41800 p	40490 p	42920 p
B1GQ,CP_EUR_HAB,DK	43840 	44500 	45530 	46100 	47090 	48050 	49420 	51140 	52180 	53210 	53480 	57520 
B1GQ,CP_EUR_HAB,EA	28840 	29470 	29510 	29740 	30270 	31070 	31840 	32960 	33990 	35010 	33290 	35780 
B1GQ,CP_EUR_HAB,EA19	28460 	29180 	29230 	29480 	30110 	31070 	31840 	32960 	33990 	35010 	33290 	35780 
B1GQ,CP_EUR_HAB,EE	11060 	12540 	13520 	14320 	15240 	15710 	16530 	18120 	19570 	20930 	20190 	23060 
B1GQ,CP_EUR_HAB,EL	20150 b	18310 	17060 	16400 	16270 	16300 	16190 	16450 	16730 	17090 p	15440 p	17140 p
B1GQ,CP_EUR_HAB,ES	23040 	22760 	22050 	21900 	22220 	23220 	23980 	24970 	25750 	26420 p	23690 p	25460 p
B1GQ,CP_EUR_HAB,EU27_2020	24900 	25650 	25760 	26020 	26580 	27500 	28200 	29320 	30290 	31310 	29940 	32330 
B1GQ,CP_EUR_HAB,EU28	25520 	26220 	26690 	26870 	27750 	29180 	29340 	30150 	31090 	32160 	: 	: 
B1GQ,CP_EUR_HAB,FI	35080 	36750 	37130 	37570 	37880 	38570 	39580 	41080 	42320 	43440 	43030 	45370 
B1GQ,CP_EUR_HAB,FR	30690 	31510 	31820 	32080 	32420 	33020 	33430 	34230 	35040 	35970 p	33980 p	36660 p
B1GQ,CP_EUR_HAB,HR	10610 	10600 	10420 	10420 	10370 	10740 	11320 	12080 	12880 	13660 	12400 p	14710 e
B1GQ,CP_EUR_HAB,HU	9980 	10250 	10110 	10340 	10770 	11460 	11850 	12980 	13920 	14950 	14100 p	15870 p
B1GQ,CP_EUR_HAB,IE	36700 	37500 	38180 	38830 	41900 	55970 	56870 	61830 	67080 	72360 	74870 	83990 
B1GQ,CP_EUR_HAB,IS	32650 	34280 	35800 	37470 	41150 	47750 	56070 	63830 	63060 	61470 	51690 	57800 
B1GQ,CP_EUR_HAB,IT	26940 	27470 	26990 	26740 	26980 	27480 	28210 	28940 	29580 	30080 	27880 	30040 
B1GQ,CP_EUR_HAB,LI	: 	: 	: 	128380 	133180 	148440 	147270 	148690 	146100 	146620 p	136000 e	: 
B1GQ,CP_EUR_HAB,LT	9050 	10340 	11180 	11850 	12480 	12860 	13560 	14950 	16250 	17490 	17710 	19760 
B1GQ,CP_EUR_HAB,LU	83550 	85330 	87540 	90030 	92760 	95090 	96230 	97440 	99150 	100890 	101760 	114370 
B1GQ,CP_EUR_HAB,LV	8550 	9550 	10870 	11320 	11850 	12430 	12950 	13900 	15130 	16020 	15500 	17450 
B1GQ,CP_EUR_HAB,ME	5050 	5270 	5130 	5410 	5560 	5870 	6350 	6910 	7490 	7960 	6740 	: 
B1GQ,CP_EUR_HAB,MK	3460 e	3660 e	3680 e	3950 e	4140 e	4380 e	4660 e	4840 e	5170 e	: 	: 	: 
B1GQ,CP_EUR_HAB,MT	16440 	16630 	17530 	18650 	20120 	22450 	23130 	25490 	26700 	27830 	25330 	28220 
B1GQ,CP_EUR_HAB,NL	38470 	38960 	38970 	39300 	39820 	40730 	41590 	43090 	44920 	46880 	45670 p	48840 p
B1GQ,CP_EUR_HAB,NO	66220 	72350 	79000 	77440 	73180 	66980 	63690 	66950 	69710 	67640 	59130 	75360 
B1GQ,CP_EUR_HAB,PL	9400 	9860 	10070 	10190 	10630 	11190 	11110 	12170 	12960 	13900 	13730 	15050 
B1GQ,CP_EUR_HAB,PT	16990 	16680 	16010 	16300 	16640 	17350 	18060 	19020 	19950 	20840 	19430 p	20530 p
B1GQ,CP_EUR_HAB,RO	6200 	6540 	6620 	7190 	7570 	8080 	8630 	9580 	10500 	11520 	11360 p	12510 p
B1GQ,CP_EUR_HAB,RS	4330 	4900 	4680 	5080 	4970 	5040 	5210 	5590 	6140 	6620 	6780 	7780 p
