Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
1924,France,Chamonix,United States,USA,1,2,1
1924,France,Chamonix,Great Britain,GBR,1,1,2
1924,France,Chamonix,Austria,AUT,2,1,0
1924,France,Chamonix,Norway,NOR,4,7,6
1924,France,Chamonix,Finland,FIN,4,4,3
1924,France,Chamonix,France,FRA,0,0,3
1924,France,Chamonix,Belgium,BEL,0,0,1
1924,France,Chamonix,Switzerland,SUI,2,0,1
1924,France,Chamonix,Canada,CAN,1,0,0
1924,France,Chamonix,Sweden,SWE,1,1,0
1928,Switzerland,St. Moritz,Sweden,SWE,2,2,1
1928,Switzerland,St. Moritz,Finland,FIN,2,1,1
1928,Switzerland,St. Moritz,Canada,CAN,1,0,0
1928,Switzerland,St. Moritz,Czechoslovakia,TCH,0,0,1
1928,Switzerland,St. Moritz,Norway,NOR,6,4,5
1928,Switzerland,St. Moritz,United States,USA,2,2,2
1928,Switzerland,St. Moritz,Great Britain,GBR,0,0,1
1928,Switzerland,St. Moritz,Switzerland,SUI,0,0,1
1928,Switzerland,St. Moritz,Belgium,BEL,0,0,1
1928,Switzerland,St. Moritz,France,FRA,1,0,0
1928,Switzerland,St. Moritz,Austria,AUT,0,3,1
1928,Switzerland,St. Moritz,Germany,GER,0,0,1
1932,United States,Lake Placid,Sweden,SWE,1,2,0
1932,United States,Lake Placid,Canada,CAN,1,1,5
1932,United States,Lake Placid,United States,USA,6,4,2
1932,United States,Lake Placid,Norway,NOR,3,4,3
1932,United States,Lake Placid,Finland,FIN,1,1,1
1932,United States,Lake Placid,Germany,GER,0,0,2
1932,United States,Lake Placid,Hungary,HUN,0,0,1
1932,United States,Lake Placid,Switzerland,SUI,0,1,0
1932,United States,Lake Placid,Austria,AUT,1,1,0
1932,United States,Lake Placid,France,FRA,1,0,0
1936,Germany,Garmisch-Partenkirchen,Finland,FIN,1,2,3
1936,Germany,Garmisch-Partenkirchen,Switzerland,SUI,1,2,0
1936,Germany,Garmisch-Partenkirchen,Sweden,SWE,2,2,3
1936,Germany,Garmisch-Partenkirchen,Norway,NOR,7,5,3
1936,Germany,Garmisch-Partenkirchen,Germany,GER,3,3,0
1936,Germany,Garmisch-Partenkirchen,Canada,CAN,0,1,0
1936,Germany,Garmisch-Partenkirchen,France,FRA,0,0,1
1936,Germany,Garmisch-Partenkirchen,Hungary,HUN,0,0,1
1936,Germany,Garmisch-Partenkirchen,Austria,AUT,1,1,2
1936,Germany,Garmisch-Partenkirchen,Great Britain,GBR,1,1,1
1936,Germany,Garmisch-Partenkirchen,United States,USA,1,0,3
1948,Switzerland,St. Moritz,France,FRA,2,1,2
1948,Switzerland,St. Moritz,Canada,CAN,2,0,1
1948,Switzerland,St. Moritz,Sweden,SWE,4,3,3
1948,Switzerland,St. Moritz,Switzerland,SUI,3,4,3
1948,Switzerland,St. Moritz,United States,USA,3,4,2
1948,Switzerland,St. Moritz,Austria,AUT,1,3,4
1948,Switzerland,St. Moritz,Hungary,HUN,0,1,0
1948,Switzerland,St. Moritz,Great Britain,GBR,0,0,2
1948,Switzerland,St. Moritz,Czechoslovakia,TCH,0,1,0
1948,Switzerland,St. Moritz,Finland,FIN,1,3,2
1948,Switzerland,St. Moritz,Italy,ITA,1,0,0
1948,Switzerland,St. Moritz,Norway,NOR,4,3,3
1948,Switzerland,St. Moritz,Belgium,BEL,1,1,0
1952,Norway,Oslo,Germany,GER,3,2,2
1952,Norway,Oslo,Austria,AUT,2,4,2
1952,Norway,Oslo,Italy,ITA,1,0,1
1952,Norway,Oslo,Norway,NOR,7,3,6
1952,Norway,Oslo,United States,USA,4,6,1
1952,Norway,Oslo,Finland,FIN,3,4,2
1952,Norway,Oslo,Canada,CAN,1,0,1
1952,Norway,Oslo,Switzerland,SUI,0,0,2
1952,Norway,Oslo,France,FRA,0,0,1
1952,Norway,Oslo,Hungary,HUN,0,0,1
1952,Norway,Oslo,Great Britain,GBR,1,0,0
1952,Norway,Oslo,Netherlands,NED,0,3,0
1952,Norway,Oslo,Sweden,SWE,0,0,4
1956,Italy,Cortina d'Ampezzo,Switzerland,SUI,3,2,1
1956,Italy,Cortina d'Ampezzo,Sweden,SWE,2,4,4
1956,Italy,Cortina d'Ampezzo,United States,USA,2,3,2
1956,Italy,Cortina d'Ampezzo,Soviet Union,URS,7,3,6
1956,Italy,Cortina d'Ampezzo,Austria,AUT,4,3,4
1956,Italy,Cortina d'Ampezzo,Finland,FIN,3,3,1
1956,Italy,Cortina d'Ampezzo,Japan,JPN,0,1,0
1956,Italy,Cortina d'Ampezzo,Hungary,HUN,0,0,1
1956,Italy,Cortina d'Ampezzo,Poland,POL,0,0,1
1956,Italy,Cortina d'Ampezzo,Canada,CAN,0,1,2
1956,Italy,Cortina d'Ampezzo,Norway,NOR,2,1,1
1956,Italy,Cortina d'Ampezzo,Italy,ITA,1,2,0
1956,Italy,Cortina d'Ampezzo,United Team of Germany,EUA,1,0,1
1960,United States,Squaw Valley,Finland,FIN,2,3,3
1960,United States,Squaw Valley,Norway,NOR,3,3,0
1960,United States,Squaw Valley,Sweden,SWE,3,2,2
1960,United States,Squaw Valley,Soviet Union,URS,7,5,9
1960,United States,Squaw Valley,France,FRA,1,0,2
1960,United States,Squaw Valley,United States,USA,3,4,3
1960,United States,Squaw Valley,United Team of Germany,EUA,4,3,1
1960,United States,Squaw Valley,Poland,POL,0,1,1
1960,United States,Squaw Valley,Czechoslovakia,TCH,0,1,0
1960,United States,Squaw Valley,Italy,ITA,0,0,1
1960,United States,Squaw Valley,Netherlands,NED,0,1,1
1960,United States,Squaw Valley,Canada,CAN,2,1,1
1960,United States,Squaw Valley,Switzerland,SUI,2,0,0
1960,United States,Squaw Valley,Austria,AUT,1,2,3
1964,Austria,Innsbruck,United Team of Germany,EUA,3,3,3
1964,Austria,Innsbruck,Sweden,SWE,3,3,1
1964,Austria,Innsbruck,United States,USA,1,2,4
1964,Austria,Innsbruck,France,FRA,3,4,0
1964,Austria,Innsbruck,Austria,AUT,4,5,3
1964,Austria,Innsbruck,Norway,NOR,3,6,6
1964,Austria,Innsbruck,Finland,FIN,3,4,3
1964,Austria,Innsbruck,North Korea,PRK,0,1,0
1964,Austria,Innsbruck,Czechoslovakia,TCH,0,0,1
1964,Austria,Innsbruck,Soviet Union,URS,11,8,6
1964,Austria,Innsbruck,Italy,ITA,0,1,3
1964,Austria,Innsbruck,Canada,CAN,1,1,1
1964,Austria,Innsbruck,Netherlands,NED,1,1,0
1964,Austria,Innsbruck,Great Britain,GBR,1,0,0
1968,France,Grenoble,Italy,ITA,4,0,0
1968,France,Grenoble,Austria,AUT,3,4,4
1968,France,Grenoble,Netherlands,NED,3,3,3
1968,France,Grenoble,France,FRA,4,3,2
1968,France,Grenoble,Romania,ROU,0,0,1
1968,France,Grenoble,Norway,NOR,6,6,2
1968,France,Grenoble,Soviet Union,URS,5,5,3
1968,France,Grenoble,Sweden,SWE,3,2,3
1968,France,Grenoble,Czechoslovakia,TCH,1,2,1
1968,France,Grenoble,Canada,CAN,1,1,1
1968,France,Grenoble,Switzerland,SUI,0,2,4
1968,France,Grenoble,Finland,FIN,1,2,2
1968,France,Grenoble,West Germany,FRG,2,2,3
1968,France,Grenoble,United States,USA,1,5,1
1968,France,Grenoble,East Germany,GDR,1,2,2
1972,Japan,Sapporo,Norway,NOR,2,5,5
1972,Japan,Sapporo,United States,USA,3,2,3
1972,Japan,Sapporo,Austria,AUT,1,2,2
1972,Japan,Sapporo,Italy,ITA,2,2,1
1972,Japan,Sapporo,East Germany,GDR,4,3,7
1972,Japan,Sapporo,Soviet Union,URS,8,5,3
1972,Japan,Sapporo,Netherlands,NED,4,3,2
1972,Japan,Sapporo,Switzerland,SUI,4,3,3
1972,Japan,Sapporo,Sweden,SWE,1,1,2
1972,Japan,Sapporo,France,FRA,0,1,2
1972,Japan,Sapporo,Finland,FIN,0,4,1
1972,Japan,Sapporo,West Germany,FRG,3,1,1
1972,Japan,Sapporo,Canada,CAN,0,1,0
1972,Japan,Sapporo,Spain,ESP,1,0,0
1972,Japan,Sapporo,Czechoslovakia,TCH,1,0,2
1972,Japan,Sapporo,Poland,POL,1,0,0
1972,Japan,Sapporo,Japan,JPN,1,1,1
1976,Austria,Innsbruck,Austria,AUT,2,2,2
1976,Austria,Innsbruck,Finland,FIN,2,4,1
1976,Austria,Innsbruck,Netherlands,NED,1,2,3
1976,Austria,Innsbruck,Switzerland,SUI,1,3,1
1976,Austria,Innsbruck,East Germany,GDR,7,5,7
1976,Austria,Innsbruck,Soviet Union,URS,13,6,8
1976,Austria,Innsbruck,Norway,NOR,3,3,1
1976,Austria,Innsbruck,United States,USA,3,3,4
1976,Austria,Innsbruck,Sweden,SWE,0,0,2
1976,Austria,Innsbruck,Liechtenstein,LIE,0,0,2
1976,Austria,Innsbruck,West Germany,FRG,2,5,3
1976,Austria,Innsbruck,France,FRA,0,0,1
1976,Austria,Innsbruck,Great Britain,GBR,1,0,0
1976,Austria,Innsbruck,Canada,CAN,1,1,1
1976,Austria,Innsbruck,Italy,ITA,1,2,1
1976,Austria,Innsbruck,Czechoslovakia,TCH,0,1,0
1980,United States,Lake Placid,Finland,FIN,1,5,3
1980,United States,Lake Placid,Liechtenstein,LIE,2,2,0
1980,United States,Lake Placid,Norway,NOR,1,3,6
1980,United States,Lake Placid,Switzerland,SUI,1,1,3
1980,United States,Lake Placid,Netherlands,NED,1,2,1
1980,United States,Lake Placid,East Germany,GDR,9,7,7
1980,United States,Lake Placid,Soviet Union,URS,10,6,6
1980,United States,Lake Placid,United States,USA,6,4,2
1980,United States,Lake Placid,Sweden,SWE,3,0,1
1980,United States,Lake Placid,Austria,AUT,3,2,2
1980,United States,Lake Placid,Bulgaria,BUL,0,0,1
1980,United States,Lake Placid,Japan,JPN,0,1,0
1980,United States,Lake Placid,Czechoslovakia,TCH,0,0,1
1980,United States,Lake Placid,Hungary,HUN,0,1,0
1980,United States,Lake Placid,France,FRA,0,0,1
1980,United States,Lake Placid,Italy,ITA,0,2,0
1980,United States,Lake Placid,Great Britain,GBR,1,0,0
1980,United States,Lake Placid,West Germany,FRG,0,2,3
1980,United States,Lake Placid,Canada,CAN,0,1,1
1984,Yugoslavia,Sarajevo,Switzerland,SUI,2,2,1
1984,Yugoslavia,Sarajevo,Sweden,SWE,4,2,2
1984,Yugoslavia,Sarajevo,West Germany,FRG,2,1,1
1984,Yugoslavia,Sarajevo,Canada,CAN,2,1,1
1984,Yugoslavia,Sarajevo,Soviet Union,URS,6,10,9
1984,Yugoslavia,Sarajevo,East Germany,GDR,9,9,6
1984,Yugoslavia,Sarajevo,Finland,FIN,4,3,6
1984,Yugoslavia,Sarajevo,United States,USA,4,4,0
1984,Yugoslavia,Sarajevo,Italy,ITA,2,0,0
1984,Yugoslavia,Sarajevo,Liechtenstein,LIE,0,0,2
1984,Yugoslavia,Sarajevo,Yugoslavia,YUG,0,1,0
1984,Yugoslavia,Sarajevo,Norway,NOR,3,2,4
1984,Yugoslavia,Sarajevo,Austria,AUT,0,0,1
1984,Yugoslavia,Sarajevo,Japan,JPN,0,1,0
1984,Yugoslavia,Sarajevo,Czechoslovakia,TCH,0,2,4
1984,Yugoslavia,Sarajevo,France,FRA,0,1,2
1984,Yugoslavia,Sarajevo,Great Britain,GBR,1,0,0
1988,Canada,Calgary,Netherlands,NED,3,2,2
1988,Canada,Calgary,Austria,AUT,3,5,2
1988,Canada,Calgary,United States,USA,2,1,3
1988,Canada,Calgary,West Germany,FRG,2,4,2
1988,Canada,Calgary,Sweden,SWE,4,0,2
1988,Canada,Calgary,Soviet Union,URS,11,9,9
