Tab.2.3.8;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Schüler/-innen an allgemeinbildenden Schulen nach Klassen- bzw. Jahrgangsstufen, Bildungsbereichen und Ländern 1);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;Länder insgesamt 2);Länder insgesamt;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen 3);Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
Schuljahr;Klassen- bzw. Jahrgangsstufe;Anzahl;Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%)
1999/2000;Vorschulbereich;67421;0,7;0,6;-;2,6;-;1,2;3,3;1;0,1;1,4;0,6;0,3;0,4;0,2;0,2;0,5;0,1
1999/2000;Primarbereich;3532746;35,2;38,1;37,9;30,3;25,3;35;35;37,1;26,3;38;36;38,4;38;27,4;27,2;39,2;26,7
1999/2000;  1;825878;8,2;9,2;9,3;6,8;4,3;8,6;8,5;9;4,2;9,3;8,8;9,3;9,2;4,7;4,9;9,4;4,8
1999/2000;  2;864381;8,6;9,5;9,5;7;5;8,7;8,9;9,4;5,1;9,8;9,1;9,7;9,5;5,4;5,6;10,2;5,3
1999/2000;  3;916918;9,1;9,8;9,7;7,9;7,2;8,9;8,9;9,5;7,3;9,6;9,2;9,9;9,9;7,9;7,5;10,1;7,4
1999/2000;  4;919245;9,1;9,3;9,4;8,6;9;8,8;8,7;9,2;9,1;9,3;8,8;9,6;9,3;9,3;9,3;9,5;9,2
1999/2000;  Primarbereich, ohne Angabe;6324;0,1;0,3;-;-;-;-;-;-;0,6;0;0;-;0,1;0,1;-;-;-
1999/2000;Sekundarbereich I;5251343;52,3;50,6;51,7;52,4;59,6;48,2;46,9;50;61,8;50,2;50,2;50,8;51,2;60,4;60;49,6;60
1999/2000;  5;927244;9,2;9,4;9,8;8,7;9,5;8,4;8,4;9,1;9,6;9;8,7;9,4;9,3;9,7;9,6;9,3;9,8
1999/2000;  6;929790;9,3;9,2;9,2;8,8;9,9;8,1;8,5;9;10,4;8,9;8,9;9,6;9,1;10,2;10,6;9,1;10,3
1999/2000;  Jahrgangsstufe 5 und 6 zusammen;1857034;18,5;18,6;19,1;17,5;19,4;16,5;16,9;18,1;20,1;17,9;17,6;19;18,4;19,9;20,2;18,4;20,1
1999/2000;  7;925504;9,2;9;9,5;9;10;8,2;8,2;8,9;10,8;8,7;8,7;9,3;10;10,3;10,1;9,1;10,4
1999/2000;  8;903602;9;8,8;8,9;8,9;10,3;8,1;8;8,5;11,2;8,7;8,4;8,8;9;10,5;10,7;8,5;10,5
1999/2000;  9;874013;8,7;8,4;8,9;8,7;10,3;7,7;7,6;8,2;10,7;8,1;8,1;8,3;8,4;10,5;10,2;8,1;10,6
1999/2000;  10;684080;6,8;5,6;5,3;8,1;9,6;7,6;6,3;6,2;8,9;6,7;7,4;5,4;5,4;8,9;8,8;5,5;8,5
1999/2000;  Sekundarbereich I, ohne Angabe;7110;0,1;0,3;0;0,2;-;0,1;-;-;0,1;0,1;0;-;-;0,2;0;-;-
1999/2000;Sekundarbereich II;735931;7,3;6,4;5,9;10,3;10;10,1;9,9;8,1;5,6;6,6;8,3;7,1;7,2;6,7;6,1;6,5;7
1999/2000;  11;274554;2,7;2,2;2,1;3,7;3,6;3,6;3,7;2,9;2,7;2,4;2,9;2,5;2,5;3,4;3;2,3;3,3
1999/2000;  12;261430;2,6;2,1;1,9;3,5;3,3;3,4;3,2;2,7;2,9;2,2;2,8;2,3;2,6;3,3;3,1;2,2;3,6
1999/2000;  13;199856;2;2;1,9;3,1;3,1;3,1;3;2,5;0;2;2,5;2,2;2,2;0;0;2;0
1999/2000;  Sekundarbereich II, ohne Angabe;91;0;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-
1999/2000;Eingangsphase E;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1999/2000;Qualifizierungsstufe Q1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1999/2000;Qualifizierungsstufe Q2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1999/2000;Förderschule;415425;4,1;4;4,4;3,4;4,6;3,6;4,3;3,2;6;3,7;4;3,3;2,8;4,9;6,2;3,7;6,1
1999/2000;Abendschule/Kolleg;45907;0,5;0,3;0,2;1;0,4;1,9;0,6;0,6;0,2;0,1;0,9;0,1;0,3;0,3;0,3;0,4;0,1
1999/2000;Insgesamt;10048773;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
2000/2001;Vorschulbereich;64704;0,6;0,7;-;2,6;-;1,1;3,4;1;0,1;1,3;0,6;0,3;0,4;0,2;0,1;0,5;0,1
2000/2001;Primarbereich;3394646;34,1;37,2;37,2;28,6;21,8;34,3;34,4;36,4;22,5;37,3;35,4;37,6;37,2;24;23,9;38,3;23,3
2000/2001;  1;801461;8;8,8;9;6,6;4,4;8,1;8,3;8,8;4,2;9,1;8,6;9,1;8,8;4,8;5;9,2;4,9
2000/2001;  2;830025;8,3;9,3;9,2;7;4,6;8,6;8,4;9,1;4,5;9,4;8,8;9,3;9,1;5;5,2;9,7;5,1
2000/2001;  3;852148;8,6;9,4;9,4;7,1;5,2;8,7;8,9;9,2;5,2;9,3;9;9,5;9,3;5,9;5,7;9,8;5,5
2000/2001;  4;904557;9,1;9,5;9,6;8;7,6;9;8,8;9,4;7,8;9,5;9;9,7;9,8;8,2;8;9,7;7,9
2000/2001;  Primarbereich, ohne Angabe;6455;0,1;0,2;-;-;-;-;-;-;0,8;0;0;-;0,1;0,1;-;-;-
2000/2001;Sekundarbereich I;5311654;53,3;51,5;52,5;53,6;62,4;49;47,7;50,7;65,3;51;50,9;51,7;52,1;63,5;62,9;50,7;63
2000/2001;  5;927795;9,3;9,4;10;8,8;9,6;8,4;8,6;9,2;9,8;9,1;8,8;9,4;9,3;10;9,9;9,4;10
2000/2001;  6;928976;9,3;9,4;9,2;8,9;10,1;8,4;8,6;9,1;10,8;8,8;8,9;9,7;9,2;10,4;10,8;9,3;10,5
2000/2001;  Jahrgangsstufe 5 und 6 zusammen;1856771;18,6;18,7;19,2;17,7;19,7;16,8;17,2;18,2;20,5;17,9;17,7;19,1;18,6;20,4;20,7;18,7;20,5
2000/2001;  7;948382;9,5;9,3;9,6;9,3;10,6;8,5;8,5;9,1;11,4;9,1;9;9,6;9,7;10,9;11;9,5;10,9
2000/2001;  8;927181;9,3;9;9,3;9,2;10,8;8,3;8,2;8,8;11,7;9;8,7;9,1;9,7;11,2;10,7;8,9;11,2
2000/2001;  9;882971;8,9;8,5;8,8;8,9;11,1;8;7,8;8,3;11,9;8,3;8,1;8,5;8,8;11,2;11,1;8,2;11
