s_adj,indic,geo\time	2022M06 	2022M05 	2022M04 	2022M03 	2022M02 	2022M01 	2021M12 	2021M11 	2021M10 	2021M09 	2021M08 	2021M07 	2021M06 	2021M05 	2021M04 	2021M03 	2021M02 	2021M01 	2020M12 	2020M11 	2020M10 	2020M09 	2020M08 	2020M07 	2020M06 	2020M05 	2020M04 	2020M03 	2020M02 	2020M01 	2019M12 	2019M11 	2019M10 	2019M09 	2019M08 	2019M07 	2019M06 	2019M05 	2019M04 	2019M03 	2019M02 	2019M01 	2018M12 	2018M11 	2018M10 	2018M09 	2018M08 	2018M07 	2018M06 	2018M05 	2018M04 	2018M03 	2018M02 	2018M01 	2017M12 	2017M11 	2017M10 	2017M09 	2017M08 	2017M07 	2017M06 	2017M05 	2017M04 	2017M03 	2017M02 	2017M01 	2016M12 	2016M11 	2016M10 	2016M09 	2016M08 	2016M07 	2016M06 	2016M05 	2016M04 	2016M03 	2016M02 	2016M01 	2015M12 	2015M11 	2015M10 	2015M09 	2015M08 	2015M07 	2015M06 	2015M05 	2015M04 	2015M03 	2015M02 	2015M01 	2014M12 	2014M11 	2014M10 	2014M09 	2014M08 	2014M07 	2014M06 	2014M05 	2014M04 	2014M03 	2014M02 	2014M01 	2013M12 	2013M11 	2013M10 	2013M09 	2013M08 	2013M07 	2013M06 	2013M05 	2013M04 	2013M03 	2013M02 	2013M01 	2012M12 	2012M11 	2012M10 	2012M09 	2012M08 	2012M07 	2012M06 	2012M05 	2012M04 	2012M03 	2012M02 	2012M01 	2011M12 	2011M11 	2011M10 	2011M09 	2011M08 	2011M07 	2011M06 	2011M05 	2011M04 	2011M03 	2011M02 	2011M01 	2010M12 	2010M11 	2010M10 	2010M09 	2010M08 	2010M07 	2010M06 	2010M05 	2010M04 	2010M03 	2010M02 	2010M01 	2009M12 	2009M11 	2009M10 	2009M09 	2009M08 	2009M07 	2009M06 	2009M05 	2009M04 	2009M03 	2009M02 	2009M01 	2008M12 	2008M11 	2008M10 	2008M09 	2008M08 	2008M07 	2008M06 	2008M05 	2008M04 	2008M03 	2008M02 	2008M01 
NSA,IS-CEL-GWH,AL	: 	: 	563.197 	663.317 	628.763 	668.344 	705.905 	573.072 	552.893 	530.824 	632.615 	616.085 	547.893 	540.115 	594.413 	617.122 	597.971 	656.630 	664.890 	558.846 	511.867 	507.919 	540.980 	530.676 	481.078 	475.995 	474.191 	543.260 	576.753 	620.435 	601.745 	495.912 	465.219 	493.023 	578.114 	550.730 	527.613 	518.804 	528.040 	559.639 	545.847 	631.702 	653.736 	528.975 	497.155 	475.650 	550.170 	517.478 	479.546 	476.886 	465.565 	564.343 	542.046 	588.340 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,IS-CEL-GWH,AT	: 	: 	5254.954 	5889.350 	5572.221 	6241.162 	6194.275 	5889.139 	5534.870 	5138.257 	5125.441 	5238.894 	5139.668 	5200.376 	5292.216 	5837.977 	5417.159 	6061.711 	5948.676 	5653.941 	5569.589 	5070.661 	4984.917 	5016.111 	4715.880 	4748.615 	4553.688 	5536.454 	5637.256 	6191.459 	5970.166 	5692.274 	5510.255 	5129.621 	5108.134 	5238.936 	5028.373 	5355.760 	5245.656 	5765.677 	5573.692 	6392.332 	6077.264 	5747.568 	5500.696 	5080.326 	5158.118 	5155.167 	5104.720 	5128.399 	5088.123 	6142.653 	5784.098 	6112.774 	6044.640 	5829.190 	5416.884 	5204.858 	5100.821 	5128.008 	5001.528 	5091.377 	5137.276 	5701.377 	5573.772 	6487.446 	6372.000 	6097.000 	5777.000 	5341.000 	5229.000 	5360.000 	5317.000 	5324.000 	5361.000 	6067.000 	5888.000 	6397.000 	6782 	6475 	6352 	5937 	5803 	6006 	5793 	5958 	5925 	6669 	6383 	7048 	6773 	6388 	6374 	5849 	5694 	5924 	5731 	5956 	5914 	6418 	6230 	6923 	6825 	6486 	6382 	5860 	5752 	5774 	5778 	5807 	6096 	6778 	6305 	7116 	6979 	6450 	6238 	5876 	5816 	5904 	5718 	5864 	5933 	6544 	6693 	6764 	6786 	6440 	6201 	5816 	5733 	5874 	5622 	5798 	5784 	6566 	6244 	6805 	6924 	6320 	6095 	5697 	5629 	5878 	5702 	5728 	5746 	6472 	6137 	6713 	6512 	6117 	6015 	5537 	5326 	5508 	5247 	5364 	5320 	6138 	5934 	6609 	6467 	6089 	6186 	5762 	5423 	5648 	5585 	5699 	5777 	6259 	6085 	6637 
NSA,IS-CEL-GWH,BA	: 	: 	892.466 	1033.812 	949.590 	1083.096 	1067.647 	955.585 	939.904 	889.026 	949.904 	939.736 	848.925 	832.247 	919.401 	1025.019 	924.437 	1043.151 	1045.628 	975.642 	892.806 	807.802 	817.484 	855.121 	780.613 	770.756 	797.601 	898.188 	945.988 	1104.003 	1081.473 	938.653 	926.398 	852.962 	915.005 	909.022 	933.193 	972.690 	961.185 	1006.861 	1001.703 	1189.721 	: 	: 	: 	: 	: 	: 	: 	920.333 	945.733 	1154.489 	977.235 	1120.810 	: 	: 	: 	: 	999.384 	1010.719 	955.437 	925.630 	979.291 	1015.055 	1017.982 	1273.513 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,IS-CEL-GWH,BE	: 	: 	6417.000 	6725.371 	6648.220 	7459.423 	7348.699 	7008.301 	6852.319 	6428.640 	6360.164 	6315.031 	6394.948 	6559.611 	6701.450 	7061.353 	6766.767 	7654.327 	7225.934 	6711.446 	6736.043 	6324.405 	6364.316 	6139.197 	6117.235 	6071.529 	5787.627 	6807.619 	6995.115 	7510.720 	7199.912 	7049.161 	6826.437 	6349.651 	6242.491 	6160.416 	6132.191 	6415.349 	6391.474 	6993.838 	6688.507 	7598.430 	7194.757 	6949.913 	6773.290 	6254.323 	6385.816 	6441.420 	6355.800 	6496.643 	6427.922 	7454.690 	7130.650 	7492.472 	7439.216 	7067.314 	6842.773 	6348.503 	6283.773 	6159.814 	6322.474 	6425.014 	6480.252 	7034.123 	6778.638 	7821.644 	7704.000 	7349.000 	7095.000 	6618.000 	6564.000 	6356.000 	6491.000 	6635.000 	6833.000 	7511.000 	7293.000 	7749.000 	7291 	7110 	7188 	6484 	6305 	6298 	6267 	6407 	6534 	7375 	7182 	7973 	7622 	7058 	7082 	6560 	6381 	6459 	6271 	6549 	6562 	7232 	7085 	7915 	7779 	7662 	7298 	6746 	6528 	6500 	6406 	6694 	6848 	7999 	7573 	8401 	7772 	7597 	7287 	6723 	6653 	6552 	6683 	6992 	7140 	7589 	8138 	8152 	7826 	7922 	7395 	7017 	7023 	6817 	6754 	7303 	7225 	8034 	7665 	9027 	8795 	8047 	7701 	7336 	7158 	7116 	7374 	7531 	7476 	8205 	7892 	8774 	8370 	7636 	7743 	7227 	6927 	6785 	6845 	6923 	6845 	7653 	7540 	8455 	7990 	7828 	8043 	7554 	7266 	7335 	7451 	7635 	7927 	8476 	8349 	8849 
NSA,IS-CEL-GWH,BG	: 	: 	2449.024 	3134.053 	2784.076 	3263.426 	3086.540 	2661.143 	2530.742 	2236.577 	2551.744 	2567.360 	2328.040 	2257.185 	2623.781 	3028.845 	2803.770 	3123.580 	2949.284 	2737.874 	2379.931 	2241.829 	2321.958 	2378.525 	2159.043 	2166.811 	2349.460 	2757.335 	2865.710 	3242.100 	2985.722 	2566.598 	2387.817 	2284.318 	2448.896 	2465.840 	2320.856 	2350.692 	2478.091 	2649.193 	2806.370 	3327.901 	3215.684 	2738.452 	2414.576 	2235.787 	2361.972 	2317.101 	2212.142 	2155.304 	2036.724 	2784.985 	2801.703 	3104.087 	2904.045 	2682.644 	2438.806 	2262.455 	2397.175 	2393.501 	2200.924 	2232.996 	2398.724 	2618.419 	2847.529 	3514.934 	3507.000 	2933.000 	2701.000 	2410.000 	2516.000 	2548.000 	2381.000 	2384.000 	2373.000 	2896.000 	2872.000 	3633.000 	3627 	3213 	3085 	2808 	2941 	2982 	2641 	2652 	2960 	3555 	3496 	4009 	3779 	3394 	3075 	2743 	2870 	2893 	2672 	2793 	2956 	3805 	3695 	3917 	3964 	3250 	3108 	2744 	2956 	2810 	2609 	2520 	2980 	3521 	3491 	3997 	3936 	3227 	2838 	2737 	2952 	3057 	2771 	2738 	2865 	3654 	4160 	4163 	3877 	3686 	3269 	2839 	2966 	3024 	2813 	2742 	2972 	3708 	3703 	4067 	3746 	3036 	3202 	2652 	2962 	2835 	2661 	2646 	2802 	3493 	3541 	3984 	3718 	3257 	3056 	2688 	2780 	2859 	2646 	2627 	2762 	3559 	3505 	4149 	3805 	3459 	3124 	2887 	2966 	2953 	2755 	2794 	2974 	3352 	3682 	4327 
NSA,IS-CEL-GWH,CY	: 	: 	316.001 	443.609 	382.188 	467.952 	399.490 	334.297 	374.863 	450.832 	596.719 	587.898 	408.169 	351.801 	299.321 	347.749 	337.697 	390.298 	381.531 	341.416 	386.035 	495.126 	509.103 	507.542 	351.632 	321.860 	256.178 	334.202 	391.902 	425.044 	371.284 	325.563 	380.076 	459.010 	538.291 	534.950 	439.070 	361.543 	314.170 	352.777 	363.488 	442.695 	378.553 	334.243 	382.412 	454.430 	519.667 	534.082 	428.927 	390.760 	315.499 	325.887 	331.371 	395.254 	370.410 	327.049 	360.231 	450.503 	509.325 	558.245 	397.436 	341.594 	302.027 	339.013 	358.529 	426.486 	410.000 	312.000 	359.000 	420.000 	510.000 	517.000 	422.000 	330.000 	296.000 	311.000 	320.000 	382.000 	365 	307 	361 	453 	508 	465 	354 	325 	294 	323 	337 	376 	339 	309 	346 	409 	482 	476 	376 	328 	287 	302 	291 	337 	348 	288 	318 	376 	463 	452 	368 	331 	278 	300 	296 	353 	330 	301 	354 	418 	497 	522 	417 	342 	303 	342 	378 	422 	391 	349 	357 	407 	434 	463 	436 	378 	347 	403 	408 	446 	404 	365 	411 	508 	619 	549 	448 	384 	342 	380 	393 	438 	424 	362 	412 	454 	546 	571 	470 	368 	321 	390 	382 	432 	401 	334 	372 	456 	539 	549 	443 	358 	323 	340 	415 	461 
NSA,IS-CEL-GWH,CZ	: 	: 	5106.373 	5722.660 	5326.182 	6034.336 	5813.644 	5577.895 	5168.439 	4683.319 	4585.697 	4563.705 	4718.808 	5055.047 	5233.452 	5852.019 	5659.643 	6084.635 	5620.963 	5447.441 	5202.345 	4673.722 	4520.956 	4443.015 	4410.868 	4465.521 	4385.871 	5494.874 	5500.085 	6046.774 	5538.540 	5479.198 	5223.525 	4724.159 	4662.247 	4583.680 	4674.029 	5081.291 	4987.519 	5587.586 	5445.047 	6230.192 	5666.716 	5587.603 	5248.375 	4643.543 	4774.112 	4586.606 	4681.789 	4823.044 	4821.882 	6013.260 	5649.188 	5922.149 	5635.755 	5577.755 	5244.115 	4746.667 	4650.574 	4439.907 	4634.410 	4883.905 	5011.044 	5517.405 	5423.970 	6358.719 	6110.000 	5902.000 	5561.000 	4942.000 	4835.000 	4639.000 	4811.000 	5114.000 	5228.000 	5815.000 	5606.000 	6269.000 	6222 	6173 	6141 	5406 	5390 	5500 	5423 	5590 	5813 	6490 	6237 	6728 	6335 	5978 	5925 	5549 	5287 	5321 	5279 	5594 	5762 	6253 	5928 	6573 	6305 	6247 	6001 	5390 	5291 	5143 	5126 	5439 	5701 	6583 	6119 	6789 	6391 	6138 	5966 	5276 	5244 	5153 	5207 	5505 	5739 	6272 	7003 	6751 	6415 	6417 	5968 	5322 	5351 	5138 	5234 	5516 	5552 	6435 	6284 	6830 	6912 	6124 	6060 	5463 	5232 	5191 	5189 	5491 	5634 	6462 	6242 	6964 	6492 	6079 	6001 	5215 	5057 	5026 	5014 	5089 	5187 	6322 	6170 	6932 	6291 	6226 	6102 	5578 	5285 	5366 	5326 	5621 	6092 	6643 	6485 	7031 
NSA,IS-CEL-GWH,DE	: 	: 	37996.224 	40949.235 	39320.532 	41627.096 	40424.715 	40746.193 	39866.616 	37118.258 	37459.230 	38068.718 	37549.207 	37833.091 	38347.105 	41000.868 	38432.563 	41251.889 	38975.979 	39403.681 	39381.734 	36336.985 	36800.004 	36462.712 	34648.206 	33940.479 	33691.742 	40080.317 	40094.893 	41377.860 	38977.879 	40367.600 	39703.359 	37295.802 	38196.718 	38918.763 	37125.156 	39473.797 	38344.904 	42101.521 	39282.431 	43146.659 	40976.238 	41295.425 	40811.183 	38380.764 	40911.679 	40408.156 	39134.121 	39403.393 	39023.906 	43739.631 	40246.963 	43871.612 	42817.043 	41938.945 	40554.369 	39229.870 	39816.399 	39099.056 	38157.073 	39615.961 	38904.428 	42711.611 	39758.565 	44805.424 	40450.000 	40559.000 	38345.000 	36598.000 	36616.000 	37204.000 	38267.000 	36866.000 	37701.000 	40799.000 	40585.000 	42339.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NSA,IS-CEL-GWH,DK	: 	: 	2723.190 	3058.322 	3070.401 	3379.221 	3437.570 	3117.594 	2993.068 	2699.098 	2633.623 	2525.068 	2597.495 	2775.768 	2830.969 	3168.265 	3223.601 	3475.311 	3185.976 	2832.328 	2630.246 	2341.437 	2606.122 	2296.194 	2527.496 	2593.337 	2596.189 	2985.237 	2999.729 	3121.019 	3205.720 	2875.237 	2720.764 	2653.025 	2599.080 	2475.734 	2474.444 	2667.798 	2593.210 	2938.914 	2766.003 	3188.210 	2992.108 	2954.005 	2816.629 	2536.563 	2554.495 	2474.443 	2522.182 	2567.575 	2594.224 	3159.240 	2912.307 	3167.287 	3064.956 	2964.062 	2858.364 	2613.575 	2601.937 	2386.236 	2491.297 	2599.848 	2605.766 	2927.113 	2823.321 	3148.502 	3116.000 	3050.000 	2868.000 	2625.000 	2649.000 	2459.000 	2602.000 	2608.000 	2713.000 	2976.000 	2990.000 	3325.000 	3210 	3051 	2962 	2689 	2677 	2542 	2596 	2703 	2749 	2130 	2987 	3353 	3451 	3089 	2018 	2673 	2664 	2594 	1832 	2709 	2725 	3030 	2973 	3443 	3365 	3086 	2981 	2719 	2730 	2629 	2630 	2770 	2905 	3340 	3123 	3541 	3424 	3122 	3052 	2723 	2732 	2513 	2639 	2748 	2802 	3103 	3314 	3421 	3291 	3154 	3017 	2850 	2836 	2611 	2658 	2853 	2777 	3341 	3251 	3608 	3751 	3345 	3117 	2859 	2782 	2672 	2756 	2868 	2876 	3389 	3307 	3710 	3467 	3203 	3134 	2816 	2796 	2652 	2760 	2762 	2804 	3311 	3226 	3605 	3484 	3381 	3245 	2977 	2914 	2750 	2871 	2957 	3073 	3327 	3293 	3594 
NSA,IS-CEL-GWH,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	136332 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	154603 	144804 	138215 	133982 	130117 	137262 	130376 	132333 	130416 	154058 	149388 	167240 	169280 	150742 	141307 	132366 	129916 	142160 	130726 	132973 	132335 	154214 	150416 	167497 	157884 	142912 	140116 	131353 	128644 	137678 	128443 	128177 	128149 	145968 	146130 	165582 	158077 	147612 	144925 	138070 	131173 	132916 	134993 	135404 	141466 	154917 	152564 	165673 
