siec,unit,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
C0000X0350-0370,PC,AL	22.665 	28.394 	9.460 	-3.883 	0.000 	0.000 	0.000 	0.000 	0.000 	58.824 	58.904 	75.294 	75.807 	9.375 	9.375 	16.667 	16.667 	16.667 	12.857 	97.661 	97.880 	99.154 	98.478 	98.947 	100.000 	64.100 	95.901 	38.627 	32.637 	57.943 	53.934 
C0000X0350-0370,PC,AT	77.464 	77.717 	95.084 	89.222 	84.256 	75.684 	88.283 	85.745 	93.519 	86.301 	83.931 	89.462 	91.801 	86.573 	98.443 	99.377 	94.058 	102.092 	99.809 	95.880 	99.577 	89.586 	102.771 	94.087 	101.727 	86.926 	95.008 	99.885 	97.607 	96.661 	97.807 
C0000X0350-0370,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.258 	17.839 	14.941 	17.657 	14.883 	19.768 	15.417 
C0000X0350-0370,PC,BE	90.940 	91.422 	97.884 	88.174 	92.344 	108.924 	97.801 	96.097 	100.675 	98.186 	91.241 	106.811 	86.283 	97.556 	101.497 	101.346 	95.975 	96.399 	106.420 	82.701 	97.539 	100.837 	94.278 	93.942 	99.292 	95.736 	94.134 	94.991 	104.125 	102.128 	102.695 
C0000X0350-0370,PC,BG	41.089 	38.842 	29.803 	32.697 	30.477 	31.836 	33.351 	33.409 	33.801 	31.704 	35.200 	35.837 	38.013 	35.698 	40.703 	36.878 	35.207 	38.844 	42.952 	27.193 	24.504 	24.457 	21.497 	16.327 	14.644 	11.220 	9.773 	9.362 	10.148 	7.227 	9.229 
C0000X0350-0370,PC,CY	100.000 	100.000 	100.000 	106.452 	100.000 	100.000 	100.000 	100.000 	80.770 	86.666 	102.041 	111.321 	124.528 	96.226 	68.521 	121.080 	116.613 	67.468 	102.489 	123.607 	65.640 	1.659 	100.000 	100.000 	125.002 	100.000 	0.000 	326.409 	97.544 	117.226 	105.385 
C0000X0350-0370,PC,CZ	-18.087 	-18.317 	-23.315 	-24.303 	-25.091 	-25.394 	-22.808 	-21.585 	-24.242 	-28.183 	-21.976 	-21.031 	-17.330 	-15.995 	-13.844 	-16.210 	-16.349 	-14.880 	-15.609 	-19.578 	-15.256 	-11.301 	-12.265 	-9.915 	-4.517 	-1.823 	-1.322 	2.999 	5.826 	8.687 	12.989 
C0000X0350-0370,PC,DE	2.666 	6.230 	9.240 	9.312 	10.326 	11.224 	13.741 	17.206 	20.550 	21.605 	25.567 	29.897 	29.110 	29.438 	32.570 	31.741 	37.988 	37.027 	38.281 	35.425 	40.012 	41.563 	40.188 	44.468 	44.761 	45.422 	49.609 	45.297 	42.117 	47.245 	44.120 
C0000X0350-0370,PC,DK	102.099 	94.220 	107.773 	88.468 	90.339 	117.940 	86.477 	119.991 	84.149 	90.239 	94.921 	96.575 	88.376 	98.258 	101.382 	94.385 	93.605 	100.345 	108.459 	97.989 	69.377 	110.953 	93.645 	90.766 	104.917 	84.984 	83.739 	117.695 	102.292 	153.955 	74.851 
C0000X0350-0370,PC,EA19	33.167 	37.138 	40.446 	37.401 	38.923 	41.799 	43.251 	43.931 	47.467 	48.755 	52.316 	54.133 	54.220 	54.777 	58.289 	58.002 	61.032 	59.057 	63.005 	58.081 	60.589 	61.160 	60.600 	61.228 	63.332 	63.432 	64.989 	65.543 	62.741 	65.311 	58.875 
C0000X0350-0370,PC,EE	96.858 	87.197 	111.809 	14.768 	144.412 	103.394 	64.919 	14.681 	114.381 	100.182 	125.209 	67.146 	93.346 	202.537 	34.173 	88.351 	170.688 	152.261 	100.318 	3.989 	132.651 	90.945 	150.787 	88.072 	105.698 	-6.784 	70.045 	87.172 	85.235 	107.159 	391.794 
C0000X0350-0370,PC,EL	11.396 	12.004 	17.108 	10.820 	11.575 	11.007 	13.279 	8.894 	9.503 	8.528 	8.497 	9.202 	6.969 	4.732 	5.096 	4.148 	2.670 	4.128 	4.972 	1.999 	5.096 	2.939 	2.278 	3.222 	2.895 	2.838 	4.356 	4.750 	5.136 	6.361 	10.176 
C0000X0350-0370,PC,ES	36.676 	42.328 	45.568 	40.715 	39.466 	45.312 	47.449 	37.109 	47.733 	57.998 	61.317 	58.502 	66.561 	63.313 	67.329 	70.275 	75.613 	66.676 	81.957 	93.023 	92.800 	67.723 	74.799 	66.306 	75.294 	75.387 	71.483 	84.556 	79.858 	89.467 	54.808 
C0000X0350-0370,PC,EU27_2020	18.681 	21.525 	22.641 	19.652 	20.641 	21.796 	23.131 	24.048 	25.910 	26.765 	29.849 	31.318 	32.021 	33.288 	36.106 	35.711 	37.585 	38.332 	41.579 	36.554 	38.235 	40.421 	39.847 	39.039 	41.490 	40.994 	41.102 	43.249 	43.766 	43.259 	35.838 
C0000X0350-0370,PC,FI	106.961 	92.792 	89.908 	97.074 	106.939 	89.470 	87.400 	100.564 	90.567 	73.776 	97.630 	100.975 	88.853 	112.892 	102.354 	101.974 	88.455 	95.100 	112.617 	108.196 	86.302 	115.327 	86.827 	88.331 	117.483 	91.310 	91.780 	91.479 	100.667 	98.861 	92.237 
C0000X0350-0370,PC,FR	63.949 	65.551 	74.657 	61.562 	54.508 	56.387 	64.020 	66.224 	74.805 	79.108 	86.282 	88.166 	92.822 	81.754 	94.264 	94.378 	104.870 	92.221 	109.970 	91.658 	100.960 	100.722 	96.707 	93.953 	98.998 	98.388 	93.660 	101.944 	101.006 	99.554 	96.299 
C0000X0350-0370,PC,HR	75.629 	58.261 	93.257 	77.618 	76.919 	86.214 	69.551 	59.797 	82.141 	121.898 	110.931 	92.728 	101.175 	99.820 	109.338 	91.319 	108.978 	101.828 	112.245 	89.752 	102.508 	98.401 	87.870 	110.070 	92.339 	103.036 	102.035 	100.725 	91.331 	107.309 	105.977 
C0000X0350-0370,PC,HU	26.278 	37.252 	26.310 	26.802 	33.171 	29.809 	30.552 	29.935 	26.115 	25.733 	28.088 	27.549 	24.847 	26.725 	31.588 	42.455 	40.783 	43.996 	46.606 	37.009 	41.883 	36.190 	34.112 	26.542 	27.909 	33.679 	32.467 	44.121 	48.409 	45.682 	43.677 
C0000X0350-0370,PC,IE	95.537 	98.037 	103.792 	100.138 	89.149 	106.102 	93.333 	108.381 	99.207 	96.338 	93.250 	100.420 	102.912 	95.772 	102.762 	100.823 	100.216 	90.052 	113.208 	112.678 	77.692 	114.526 	89.555 	112.413 	97.780 	102.975 	84.274 	109.797 	112.854 	68.227 	60.334 
