sex,age,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
T,Y15-24,PC_ACT,AT	: 	: 	: 	: 	: 	: 	11.3 	10.1 	9.5 	10.0 	10.3 	11.0 	11.3 	12.0 	10.5 	10.0 	9.1 	11.7 	11.0 
T,Y15-24,PC_ACT,BE	: 	: 	: 	: 	: 	: 	22.0 	22.4 	18.9 	20.0 	23.9 	23.4 	22.5 	20.3 	19.4 b	16.0 	14.5 	15.9 	18.2 
T,Y15-24,PC_ACT,BG	: 	: 	: 	: 	: 	: 	19.4 	25.1 b	28.2 b	31.2 	31.5 	26.9 	24.7 	20.4 	16.1 	15.9 	12.1 	17.4 	15.8 
T,Y15-24,PC_ACT,CY	: 	: 	: 	: 	: 	: 	13.8 	16.6 	22.4 	27.7 	38.9 	36.0 	32.8 	29.1 	24.7 	20.2 	16.6 	18.2 	17.1 
T,Y15-24,PC_ACT,CZ	: 	: 	: 	: 	: 	: 	16.6 	18.3 	18.1 b	19.5 	19.0 	15.9 	12.6 	10.5 	7.9 	6.7 	5.6 	8.0 	8.2 
T,Y15-24,PC_ACT,DE	: 	: 	: 	: 	: 	: 	11.9 	10.5 b	9.1 b	8.6 	8.3 	8.3 	7.7 	7.5 	7.2 	6.6 	6.2 	8.0 b	6.9 
T,Y15-24,PC_ACT,DK	: 	: 	: 	: 	: 	: 	13.5 	15.6 	16.4 	15.8 	14.8 	14.2 	12.2 	12.2 b	12.4 b	10.5 	10.1 	11.6 	10.8 
T,Y15-24,PC_ACT,EE	: 	: 	: 	: 	: 	: 	27.2 	32.6 	22.3 	20.7 	18.6 	14.9 	14.3 	14.0 	12.1 	12.0 	11.6 	18.3 	16.7 
T,Y15-24,PC_ACT,EL	: 	: 	: 	: 	: 	: 	26.1 	33.6 	45.2 	55.9 	59.2 	53.0 	50.3 	48.2 	44.5 	41.2 	37.5 	38.0 	35.5 
T,Y15-24,PC_ACT,ES	: 	: 	: 	: 	: 	: 	37.7 	41.5 	46.2 	52.9 	55.5 	53.2 	48.3 	44.4 	38.6 	34.3 	32.5 	38.3 	34.8 d
T,Y15-24,PC_ACT,FI	: 	: 	: 	: 	: 	: 	21.7 	22.0 	20.3 	19.5 	20.6 	20.5 	22.5 	20.5 	20.0 	17.3 	17.7 	21.0 	17.1 
T,Y15-24,PC_ACT,FR	20.1 	21.7 	22.3 	23.5 	20.8 	20.2 	25.0 	24.7 	24.1 	25.8 	26.4 	25.7 	26.1 	26.0 	23.5 	22.0 	20.7 	21.5 	18.9 d
T,Y15-24,PC_ACT,HR	: 	: 	: 	: 	: 	: 	25.2 	32.4 	36.7 	42.1 	50.0 	45.5 	42.3 	31.3 	27.4 	23.7 	16.6 	21.1 	21.9 
T,Y15-24,PC_ACT,HU	: 	: 	: 	: 	: 	: 	25.8 	25.9 	25.4 	27.8 	26.1 	20.1 	17.1 	12.7 	10.5 	9.9 	11.2 	12.5 	13.5 
T,Y15-24,PC_ACT,IE	: 	: 	: 	: 	: 	: 	24.5 	28.1 	29.6 	30.8 	26.7 	23.4 	20.2 	16.8 	14.4 	13.8 	12.5 	15.8 	14.5 
T,Y15-24,PC_ACT,IT	: 	: 	: 	: 	: 	: 	25.4 	28.0 	29.2 	35.3 	40.0 	42.7 	40.3 	37.7 	34.6 	32.2 	29.2 	29.8 	29.7 
T,Y15-24,PC_ACT,LT	: 	: 	: 	: 	: 	: 	29.6 	35.7 	32.6 	26.7 	21.9 	19.3 	16.3 	14.5 	13.3 	11.1 	11.9 	19.6 	14.3 
T,Y15-24,PC_ACT,LU	: 	: 	: 	: 	: 	: 	17.2 	14.2 	16.8 	18.8 	15.5 	22.6 	17.3 b	18.9 	15.4 	14.2 	17.0 	23.2 	16.9 
T,Y15-24,PC_ACT,LV	: 	: 	: 	: 	: 	: 	33.4 	36.2 	31.0 	28.5 	23.2 	19.6 	16.3 	17.5 	17.0 	12.2 	12.7 	14.9 	14.8 
T,Y15-24,PC_ACT,MT	: 	: 	: 	: 	: 	: 	14.5 	13.2 	13.3 	13.8 	12.7 	11.7 	11.6 	10.7 	10.6 	9.1 	9.3 	10.9 	9.6 
T,Y15-24,PC_ACT,NL	: 	: 	: 	: 	: 	: 	11.6 	12.4 	11.4 	12.9 	14.2 	13.8 	12.5 	12.1 	10.4 	8.9 	8.5 	10.6 	9.3 
T,Y15-24,PC_ACT,PL	: 	: 	: 	: 	: 	: 	21.0 	24.0 b	26.0 	26.8 	27.6 	24.1 	21.0 	17.8 	14.9 	11.8 	9.9 	10.9 	11.9 
