date,country,Zuzuege D,Fortzuege D,Wanderungssaldo D,Zuzuege A,Fortzuege A,Wanderungssaldo A,Zuzuege I,Fortzuege I,Wanderungssaldo I
2001-01-01,ALB,29.0,29.0,0.0,1417.0,1133.0,284.0,1446.0,1162.0,284.0
2001-01-01,BIH,124.0,105.0,19.0,12817.0,10485.0,2332.0,12941.0,10590.0,2351.0
2001-01-01,AND,7.0,7.0,0.0,15.0,12.0,3.0,22.0,19.0,3.0
2001-01-01,BEL,2147.0,2285.0,-138.0,2556.0,1970.0,586.0,4703.0,4255.0,448.0
2001-01-01,BGR,177.0,106.0,71.0,13295.0,7942.0,5353.0,13472.0,8048.0,5424.0
2001-01-01,DNK,656.0,722.0,-66.0,2580.0,2094.0,486.0,3236.0,2816.0,420.0
2001-01-01,EST,118.0,54.0,64.0,914.0,590.0,324.0,1032.0,644.0,388.0
2001-01-01,FIN,187.0,252.0,-65.0,2546.0,2406.0,140.0,2733.0,2658.0,75.0
2001-01-01,FRA,5411.0,6630.0,-1219.0,14451.0,12604.0,1847.0,19862.0,19234.0,628.0
2001-01-01,HRV,247.0,260.0,-13.0,13861.0,13973.0,-112.0,14108.0,14233.0,-125.0
2001-01-01,SVN,79.0,110.0,-31.0,2605.0,2406.0,199.0,2684.0,2516.0,168.0
2001-01-01,GRC,1009.0,962.0,47.0,16520.0,18726.0,-2206.0,17529.0,19688.0,-2159.0
2001-01-01,IRL,611.0,746.0,-135.0,2094.0,2049.0,45.0,2705.0,2795.0,-90.0
2001-01-01,ISL,61.0,71.0,-10.0,228.0,227.0,1.0,289.0,298.0,-9.0
2001-01-01,ITA,2559.0,3013.0,-454.0,29019.0,33091.0,-4072.0,31578.0,36104.0,-4526.0
2001-01-01,LVA,177.0,68.0,109.0,2145.0,1222.0,923.0,2322.0,1290.0,1032.0
2001-01-01,MNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-01,LTU,256.0,54.0,202.0,3508.0,1899.0,1609.0,3764.0,1953.0,1811.0
2001-01-01,LUX,503.0,638.0,-135.0,1019.0,615.0,404.0,1522.0,1253.0,269.0
2001-01-01,MKD,57.0,31.0,26.0,5421.0,2661.0,2760.0,5478.0,2692.0,2786.0
2001-01-01,MLT,51.0,43.0,8.0,76.0,46.0,30.0,127.0,89.0,38.0
2001-01-01,NLD,3762.0,3875.0,-113.0,8733.0,5455.0,3278.0,12495.0,9330.0,3165.0
2001-01-01,NOR,332.0,659.0,-327.0,1056.0,1035.0,21.0,1388.0,1694.0,-306.0
2001-01-01,RKS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-01,AUT,3657.0,5630.0,-1973.0,12163.0,9245.0,2918.0,15820.0,14875.0,945.0
2001-01-01,POL,20872.0,11420.0,9452.0,79650.0,64601.0,15049.0,100522.0,76021.0,24501.0
2001-01-01,PRT,879.0,958.0,-79.0,9414.0,10847.0,-1433.0,10293.0,11805.0,-1512.0
2001-01-01,ROU,817.0,345.0,472.0,20328.0,18558.0,1770.0,21145.0,18903.0,2242.0
2001-01-01,SVK,132.0,84.0,48.0,11424.0,9809.0,1615.0,11556.0,9893.0,1663.0
2001-01-01,SWE,506.0,1031.0,-525.0,3200.0,2783.0,417.0,3706.0,3814.0,-108.0
2001-01-01,CHE,4093.0,9092.0,-4999.0,4191.0,4056.0,135.0,8284.0,13148.0,-4864.0
2001-01-01,RUS,42425.0,1440.0,40985.0,36554.0,12028.0,24526.0,78979.0,13468.0,65511.0
2001-01-01,ESP,5909.0,6697.0,-788.0,9440.0,9632.0,-192.0,15349.0,16329.0,-980.0
2001-01-01,TUR,1514.0,1384.0,130.0,54587.0,35884.0,18703.0,56101.0,37268.0,18833.0
2001-01-01,CZE,908.0,669.0,239.0,11298.0,8635.0,2663.0,12206.0,9304.0,2902.0
2001-01-01,HUN,766.0,673.0,93.0,17421.0,14988.0,2433.0,18187.0,15661.0,2526.0
2001-01-01,UKR,3347.0,190.0,3157.0,20530.0,5752.0,14778.0,23877.0,5942.0,17935.0
2001-01-01,GBR,4594.0,5596.0,-1002.0,11584.0,10609.0,975.0,16178.0,16205.0,-27.0
2001-01-01,BLR,205.0,42.0,163.0,4067.0,1399.0,2668.0,4272.0,1441.0,2831.0
2001-01-01,SRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-01,CYP,131.0,116.0,15.0,148.0,121.0,27.0,279.0,237.0,42.0
2001-01-01,XXX,670.0,487.0,183.0,30707.0,36714.0,-6007.0,31377.0,37201.0,-5824.0
2001-01-01,DZA,60.0,56.0,4.0,3061.0,2091.0,970.0,3121.0,2147.0,974.0
2001-01-01,AGO,15.0,6.0,9.0,657.0,443.0,214.0,672.0,449.0,223.0
2001-01-01,ETH,80.0,72.0,8.0,848.0,664.0,184.0,928.0,736.0,192.0
2001-01-01,CIV,27.0,35.0,-8.0,393.0,237.0,156.0,420.0,272.0,148.0
2001-01-01,NGA,159.0,100.0,59.0,1536.0,1107.0,429.0,1695.0,1207.0,488.0
2001-01-01,GHA,135.0,99.0,36.0,1877.0,814.0,1063.0,2012.0,913.0,1099.0
2001-01-01,KEN,228.0,144.0,84.0,969.0,462.0,507.0,1197.0,606.0,591.0
2001-01-01,COG,18.0,19.0,-1.0,566.0,330.0,236.0,584.0,349.0,235.0
2001-01-01,COD,9.0,8.0,1.0,564.0,659.0,-95.0,573.0,667.0,-94.0
2001-01-01,LBY,36.0,41.0,-5.0,701.0,424.0,277.0,737.0,465.0,272.0
2001-01-01,MAR,191.0,147.0,44.0,5904.0,2579.0,3325.0,6095.0,2726.0,3369.0
2001-01-01,NER,24.0,4.0,20.0,171.0,92.0,79.0,195.0,96.0,99.0
2001-01-01,CMR,77.0,47.0,30.0,2219.0,859.0,1360.0,2296.0,906.0,1390.0
2001-01-01,ZAF,1186.0,804.0,382.0,1355.0,893.0,462.0,2541.0,1697.0,844.0
2001-01-01,RWA,23.0,32.0,-9.0,70.0,79.0,-9.0,93.0,111.0,-18.0
2001-01-01,NAM,341.0,204.0,137.0,133.0,83.0,50.0,474.0,287.0,187.0
2001-01-01,SEN,57.0,57.0,0.0,279.0,218.0,61.0,336.0,275.0,61.0
2001-01-01,SOM,17.0,5.0,12.0,447.0,588.0,-141.0,464.0,593.0,-129.0
2001-01-01,TZA,148.0,134.0,14.0,173.0,140.0,33.0,321.0,274.0,47.0
2001-01-01,TUN,244.0,205.0,39.0,2573.0,1211.0,1362.0,2817.0,1416.0,1401.0
2001-01-01,UGA,56.0,68.0,-12.0,227.0,119.0,108.0,283.0,187.0,96.0
2001-01-01,EGY,391.0,313.0,78.0,1917.0,1361.0,556.0,2308.0,1674.0,634.0
2001-01-01,CAF,23.0,19.0,4.0,21.0,19.0,2.0,44.0,38.0,6.0
2001-01-01,XXX,700.0,495.0,205.0,8030.0,4379.0,3651.0,8730.0,4874.0,3856.0
2001-01-01,ARG,618.0,271.0,347.0,1369.0,699.0,670.0,1987.0,970.0,1017.0
2001-01-01,BOL,182.0,126.0,56.0,269.0,186.0,83.0,451.0,312.0,139.0
2001-01-01,BRA,1368.0,1071.0,297.0,5104.0,3096.0,2008.0,6472.0,4167.0,2305.0
2001-01-01,CHL,449.0,274.0,175.0,726.0,449.0,277.0,1175.0,723.0,452.0
